PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
4241,"Produced water, gross alpha radiation",10804,A,9,,Y,,,,,4241
4242,"Produced water, gross beta radiation",10969,A,9,,Y,,,,,4242
4243,"Produced water, toxicity",12133,A,55,,N,,,,,4243
4244,"Produced water, Radium 226, total",10430,A,9,,Y,,,,,4244
4245,"Produced water, Radium 228, total",10431,A,9,,Y,,,,,4245
4249,Produced water toxicity 7 day noec,12129,A,59,,Y,,,,,4249
4250,Bioaccumulation testing performed,10973,A,55,,N,,,,,4250
4252,"Butyl, 5-benzotriazole, total",10700,A,59,,Y,,,,,4252
4262,"Chromium, trivalent total recoverable",10215,A,59,,Y,,"Chromium, trivalent total recoverable",Uncommon,Uncommon,4262
4270,"Chronic toxicity, daphnia magnia 21 dy",4245,A,16,,Y,,,,,4270
4278,"Seafood production, effluent # day/mo",12203,A,134,,Y,,,,,4278
4279,"RCRA/CERCLA substances, 40 CFR 261 subp c",12171,A,59,,Y,,,,,4279
4280,"Bisazer, total, water, ug/L",10981,A,59,,Y,,,,,4280
4310,Dicrotophos,12057,A,59,,Y,,,,,4310
4311,"Drilling fluid, end of well, 96-hr LC50",11221,A,59,,Y,,,,,4311
4312,"Drilling fluid, toxicity",11226,A,59,,Y,,,,,4312
4370,"Sum BOD and ammonia, water",12293,A,59,,Y,1.0,,,,4370
4379,"Well fluids, oil & grease",10364,A,59,,Y,,,,,4379
4382,"1,2-Dichloro-1,2-difluoroethane",11259,A,59,,Y,,,,,4382
4383,Thermal efficiency,12398,A,16,,Y,,,,,4383
4443,Diquat,11198,A,59,,Y,,Diquat,Uncommon,Uncommon,4443
4584,"Organics, gasoline range",11345,A,59,,Y,2.0,,,,4584
5501,"Gamma, total",11341,A,9,,Y,,,,,5501
5502,"Gamma, total counting error",11341,A,9,,Y,,,,,5502
7000,"Tritium, total",12446,I,9,,Y,,"Tritium, total",Other,Radiation,7000
7000,"Tritium, total",12446,I,9,,Y,,"Tritium, total",Other,Radiation,7000
7001,"Tritium, total counting error [pc/L]",12447,A,9,,Y,,,,,7001
7020,"Tritium, total net increase H-3 units",12448,A,9,,Y,,,,,7020
9501,"Radium 226, total",10430,A,112,,Y,,,,,9501
9503,"Radium 226, dissolved",10430,A,112,,Y,2.0,,,,9503
11123,"Manganese, total recoverable",2423,A,59,,Y,1.0,"Manganese, total recoverable",Uncommon,Uncommon,11123
11500,"Radium 226 & 228, dissolved",12175,A,9,,Y,,,,,11500
11501,"Radium 228, total",10431,A,112,,Y,2.0,,,,11501
11503,"Radium 226 + radium 228, total",12175,A,112,,Y,2.0,"Radium 226 + radium 228, total",Other,Radiation,11503
13501,"Strontium 90, total",12285,A,9,,Y,,"Strontium 90, total",Other,Radiation,13501
17501,"Lead 210, total",11641,A,58,,Y,2.0,,,,17501
18501,Iodine 129,11426,A,9,,Y,,,,,18501
19500,Total polonium,12103,A,59,,Y,2.0,,,,19500
19501,Polonium 210,12104,A,58,,Y,2.0,,,,19501
20501,"Radium 223, total",12173,A,112,,Y,,,,,20501
22100,"Technetium 99, total [14]",12368,A,9,,Y,,,,,22100
22405,"Aluminum chloride, dissolved, water",10093,A,59,,Y,1.0,,,,22405
22409,Octachlorostyrene,10934,A,59,,Y,,,,,22409
22410,"Tris[2,3-dibromo- propyl] phosphate",10691,A,59,,Y,,,,,22410
22414,Whole effluent toxicity,4677,A,181,,Y,,,,,22414
22415,Whole effluent toxicity - retest #1,4677,A,55,,N,,,,,22415
22416,Whole effluent toxicity - retest #2,4677,A,55,,N,,,,,22416
22417,Methyl tert-butyl ether [MTBE],10418,A,59,N,Y,2.0,Methyl tert-butyl ether [MTBE],Toxic Organics,Toxic Organics,22417
22418,"WET, sublethal retest #1",12509,A,55,,N,,,,,22418
22419,"WET, sublethal retest #2",12509,A,55,,N,,,,,22419
22454,Methoxypropylamine,10027,A,59,,Y,2.0,,,,22454
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100,A,59,N,Y,2.0,Polynuclear Aromatic Hydrocarbons [PAHs],Toxic Organics,Toxic Organics,22456
22501,Thorium [Thorium-232],4082,A,9,,Y,,,,,22501
22601,"Uranium 238, total",6439,A,9,,Y,,"Uranium 238, total",Uncommon,Uncommon,22601
22622,"Uranium 235, total",12460,A,9,,Y,,,,,22622
22680,"Arsenic, trivalent dissolved",10833,A,59,,Y,,,,,22680
22703,"Uranium, dissolved",6439,A,59,,Y,2.0,,,,22703
22706,"Uranium, total as U3O8",320002281,A,59,,Y,2.0,,,,22706
22708,"Uranium, total",6439,A,59,,Y,2.0,,,,22708
24501,"Radium 224, total",12174,A,112,,Y,,,,,24501
25501,Actinium 227,10793,A,9,,Y,,,,,25501
26501,Thorium 230,12407,A,9,,Y,,,,,26501
26631,Thorium 232 pci/g of dry solids,4082,A,36,,Y,2.0,,,,26631
28012,"Uranium, total [in pci/L]",6439,A,9,,Y,,"Uranium, total [in pci/L]",Metals,Uranium,28012
28801,"Cerium, total",11067,A,59,,Y,2.0,"Cerium, total",Uncommon,Uncommon,28801
29404,"Chromium, trivalent in bottom deposits",10215,A,59,,Y,2.0,,,,29404
29405,"Chromium, hexavalent in bot dep [dry wt]",10214,A,59,,Y,2.0,,,,29405
29620,"Phosphorous 32, total",12092,A,59,,Y,1.0,,,,29620
30004,Fensulfothion,12081,A,59,,Y,,,,,30004
30006,Fenthion,12086,A,59,,Y,,,,,30006
30009,Merphos,12091,A,59,,Y,,,,,30009
30056,Benzyl chloride,10124,A,59,,Y,2.0,,,,30056
30190,Dichloroprop,10421,A,59,,Y,,,,,30190
30191,Dinoseb,12016,A,59,,Y,2.0,Dinoseb,Uncommon,Uncommon,30191
30192,MCPA,10784,A,59,,Y,,,,,30192
30193,MCPP,12159,A,59,,Y,,,,,30193
30218,Dichlorvos,12053,A,59,,Y,,Dichlorvos,Toxic Organics,Toxic Organics,30218
30234,Terbacil,10038,A,59,,Y,2.0,,,,30234
30264,Hexazinone,10646,A,59,,Y,2.0,,,,30264
30311,Bromacil,10037,A,59,,Y,2.0,,,,30311
30344,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",11168,A,59,,Y,2.0,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",Uncommon,Uncommon,30344
30345,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",11166,A,59,,Y,2.0,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",Uncommon,Uncommon,30345
30346,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",11167,A,59,,Y,2.0,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",Uncommon,Uncommon,30346
34636,4-Bromophenyl phenyl ether,10911,A,59,,Y,2.0,4-Bromophenyl phenyl ether,Uncommon,Uncommon,34636
51188,Dewatering effluent chlorides tidal,11159,A,59,,Y,,,,,51188
51189,Dewatering effluent COD,11156,A,59,,Y,,,,,51189
51190,Dewatering effluent free oil,11160,A,42,,Y,,,,,51190
51191,Dewatering effluent oil & grease,10364,A,59,,Y,,,,,51191
51192,Dewatering effluent pH,11162,A,7,,N,,,,,51192
51193,Dewatering effluent TDS,11157,A,22,,Y,,,,,51193
51194,Dewatering effluent TSS,11158,A,59,,Y,,,,,51194
51195,"Flow, as a portion of stream flow",11309,A,66,,Y,,,,,51195
51196,Acetonitrile,278,A,59,,Y,,,,,51196
51197,Total Organic Carbon % Removal,11907,A,59,Y,Y,2.0,Total Organic Carbon % Removal,Organics,Other Organics,51197
51198,"Oil & grease, non-polar material",11900,A,59,,Y,1.0,,,,51198
51199,"Flow, return factor",11323,A,90,,Y,,,,,51199
51200,Endothall,10762,A,59,,Y,,Endothall,Uncommon,Uncommon,51200
51201,Color,11106,A,103,,Y,,Color,Color and Turbidity,Color,51201
51202,Sulfide-hydrogen sulfide [undissociated],12286,A,59,,Y,,,,,51202
