CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
48002062001,48002062001t0,Rule WWTP (Collection: Separate Sewers),,597.0,Collection: Separate Sewers,0.11,Haskell,TX,33.1656,-99.9272,Rule
48002062001,48002062001t1,Rule WWTP (Collection: Interceptor Sewers),,597.0,Collection: Interceptor Sewers,0.11,Haskell,TX,33.1656,-99.9272,Rule
48002062001,48002062001t2,Rule WWTP (Treatment Plant),,597.0,Treatment Plant,0.11,Haskell,TX,33.1656,-99.9272,Rule
48005041001,48005041001t0,Avery WWTP (Collection: Separate Sewers),['TX0053503'],556.0,Collection: Separate Sewers,0.124,,TX,33.562,-94.7764,Avery
48005041001,48005041001t1,Avery WWTP (Treatment Plant),['TX0053503'],556.0,Treatment Plant,0.124,,TX,33.562,-94.7764,Avery
48005098001,48005098001t0,Talco WWTP (Collection: Separate Sewers),['TX0021105'],678.0,Collection: Separate Sewers,0.125,,TX,33.3677,-95.0886,Talco
48005098001,48005098001t1,Talco WWTP (Treatment Plant),['TX0021105'],678.0,Treatment Plant,0.125,,TX,33.3677,-95.0886,Talco
48006015002,48006015002,Bancroft CS - Jackson Street WWTP,,926.0,Collection: Separate Sewers,,,TX,30.128945,-93.797922,Orange
48007005001,48007005001,Terranova West CS - Bammel WWTP,,1621.0,Collection: Separate Sewers,,,TX,30.02712432,-95.50169757,Spring
48007020002,48007020002t0,Richmond Regional WWTP (Collection: Separate Sewers),"['TX0025534', 'TX0115177']",17635.0,Collection: Separate Sewers,3.0,,TX,29.569103,-95.754282,Richmond
48007020002,48007020002t1,Richmond Regional WWTP (Treatment Plant),"['TX0025534', 'TX0115177']",17635.0,Treatment Plant,3.0,,TX,29.569103,-95.754282,Richmond
48007088001,48007088001t0,Sheldon Woods WWTP (Collection: Separate Sewers),['TX0020991'],1505.0,Collection: Separate Sewers,0.21,,TX,29.8558,-95.1317,Houston
48007088001,48007088001t1,Sheldon Woods WWTP (Treatment Plant),['TX0020991'],1505.0,Treatment Plant,0.21,,TX,29.8558,-95.1317,Houston
48007211001,48007211001t1,MUD #191 WWTP (Treatment Plant),['TX0090476'],2000.0,Treatment Plant,0.6,,TX,29.9616,-95.5356,Houston
48007211001,48007211001t0,MUD #191 WWTP (Collection: Separate Sewers),['TX0090476'],2000.0,Collection: Separate Sewers,0.6,,TX,29.9616,-95.5356,Houston
48007652001,48007652001t1,Enchanted Valley WWTP (Treatment Plant),['TX0062049'],1273.0,Treatment Plant,0.3,,TX,29.9555,-95.6411,Cypress
48007652001,48007652001t0,Enchanted Valley WWTP (Collection: Separate Sewers),['TX0062049'],1273.0,Collection: Separate Sewers,0.3,,TX,29.9555,-95.6411,Cypress
48007679001,48007679001,Louetta Road CS - Bammel WWTP,,1505.0,Collection: Separate Sewers,,,TX,30.008002,-95.54979,Spring
48007877001,48007877001,Sableridge CS - Northchase WWTP,,2547.0,Collection: Separate Sewers,,,TX,29.9743796,-95.48431,Houston
48008203001,48008203001t0,Falls WWTP (Collection: Separate Sewers),['TX0096768'],300.0,Collection: Separate Sewers,0.04,,TX,29.8456,-96.5115,New Ulm
48008203001,48008203001t1,Falls WWTP (Treatment Plant),['TX0096768'],300.0,Treatment Plant,0.04,,TX,29.8456,-96.5115,New Ulm
51000319001,51000319001t1,ARLINGTON CO WPCP (Treatment Plant),['VA0025143'],268149.0,Treatment Plant,40.0,,VA,38.8439,-77.05692,Arlington
51000319001,51000319001t0,ARLINGTON CO WPCP (Collection: Separate Sewers),['VA0025143'],268149.0,Collection: Separate Sewers,40.0,,VA,38.8439,-77.05692,Arlington
51000319001,51000319001t2,ARLINGTON CO WPCP (Biosolids Handling Facility),['VA0025143'],268149.0,Biosolids Handling Facility,40.0,,VA,38.8439,-77.05692,Arlington
34007028021,34007028021,Edgewater Park Township - NPS,,,Ground Water - Unknown Source,,Burlington,NJ,40.04624104,-74.91789982,
42004081002,42004081002t0,ALTOONA WESTERLY STP (Collection: Combined Sewers),['PA0027022'],50608.0,Collection: Combined Sewers,10.8,Clearfield,PA,40.4571,-78.4276,Altoona
42004081002,42004081002t1,ALTOONA WESTERLY STP (Collection: Separate Sewers),['PA0027022'],50608.0,Collection: Separate Sewers,10.8,Clearfield,PA,40.4571,-78.4276,Altoona
42004081002,42004081002t2,ALTOONA WESTERLY STP (Treatment Plant),['PA0027022'],50608.0,Treatment Plant,10.8,Clearfield,PA,40.4571,-78.4276,Altoona
55000708002,55000708002,BROOKFIELD CS (MMSD),,17356.0,Collection: Separate Sewers,,,WI,43.052356,-88.175755,Brookfield
55001770001,55001770001t1,FOUNTAIN CITY WWTP (Treatment Plant),['WI0024040'],1056.0,Treatment Plant,0.215,,WI,44.1229,-91.7072,Fountain City
55001770001,55001770001t0,FOUNTAIN CITY WWTP (Collection: Separate Sewers),['WI0024040'],1056.0,Collection: Separate Sewers,0.215,,WI,44.1229,-91.7072,Fountain City
55002440001,55002440001,KIMBERLY - CS,,6527.0,Collection: Separate Sewers,,Outagamie,WI,44.271624,-88.340077,Kimberly
55002440001,55002440001,KIMBERLY - CS,,6527.0,Collection: Pump Stations,,Outagamie,WI,44.271624,-88.340077,Kimberly
55004370001,55004370001t0,SHIOCTON WWTP (Collection: Separate Sewers),['WI0028100'],954.0,Collection: Separate Sewers,0.15,,WI,44.43856,-88.5842,Shiocton
55004370001,55004370001t1,SHIOCTON WWTP (Treatment Plant),['WI0028100'],954.0,Treatment Plant,0.15,,WI,44.43856,-88.5842,Shiocton
55005160001,55005160001,WEST ALLIS - CS,,60320.0,Collection: Separate Sewers,,Milwaukee,WI,43.016086,-88.006572,Milwaukee
34004001003,34004001003,Hamilton Township (Atlantic) - CS,,21152.0,Collection: Pump Stations,,Atlantic,NJ,39.46398438,-74.72246616,Mays Landing
34004001003,34004001003,Hamilton Township (Atlantic) - CS,,21152.0,Collection: Separate Sewers,,Atlantic,NJ,39.46398438,-74.72246616,Mays Landing
34006094001,34006094001,Runnemede Borough SA - CS,,7092.0,Collection: Separate Sewers,,Camden,NJ,39.84956809,-75.07248533,Runnemede
34006261001,34006261001,Lawnside Borough - CS,,2463.0,Collection: Separate Sewers,,,NJ,39.86796556,-75.03387946,Lawnside
12000170001,12000170001t1,Crescent City WWTF (Treatment Plant),['FL0021610'],6676.0,Treatment Plant,0.35,,FL,29.416442,-81.513641,Crescent City
12000170001,12000170001t0,Crescent City WWTF (Collection: Separate Sewers),['FL0021610'],6676.0,Collection: Separate Sewers,0.35,,FL,29.416442,-81.513641,Crescent City
39000025001,39000025001,Hamersville Sewer System,,485.0,Collection: Separate Sewers,,,OH,38.918889,-83.985556,Hamersville
39000160001,39000160001t1,East Palestine WWTP & Sewer System (Treatment Plant),['OH0021784'],5024.0,Treatment Plant,1.4,,OH,40.8302,-80.5446,East Palestine
39000160001,39000160001t0,East Palestine WWTP & Sewer System (Collection: Separate Sewers),['OH0021784'],5024.0,Collection: Separate Sewers,1.4,,OH,40.8302,-80.5446,East Palestine
39000279001,39000279001,Sycamore WWTP & Sewer System,['OH0021989'],1088.0,Collection: Pump Stations,0.16,Wyandot,OH,40.953608,-83.177401,Sycamore
39000279001,39000279001t0,Sycamore WWTP & Sewer System (Collection: Separate Sewers),['OH0021989'],1088.0,Collection: Separate Sewers,0.16,Wyandot,OH,40.953608,-83.177401,Sycamore
39000279001,39000279001t1,Sycamore WWTP & Sewer System (Treatment Plant),['OH0021989'],1088.0,Treatment Plant,0.16,Wyandot,OH,40.953608,-83.177401,Sycamore
39000350001,39000350001t0,Woodville WWTP & Sewer System (Collection: Combined Sewers),['OH0020591'],2016.0,Collection: Combined Sewers,0.3,Sandusky,OH,41.447424,-83.344727,Woodville
39000350001,39000350001t2,Woodville WWTP & Sewer System (Treatment Plant),['OH0020591'],2016.0,Treatment Plant,0.3,Sandusky,OH,41.447424,-83.344727,Woodville
39000350001,39000350001t1,Woodville WWTP & Sewer System (Collection: Separate Sewers),['OH0020591'],2016.0,Collection: Separate Sewers,0.3,Sandusky,OH,41.447424,-83.344727,Woodville
39000973001,39000973001t1,Bradford WWTP & Sewer System (Treatment Plant),['OH0020192'],2366.0,Treatment Plant,0.48,,OH,40.1381,-84.4277,Bradford
39000973001,39000973001t0,Bradford WWTP & Sewer System (Collection: Combined Sewers),['OH0020192'],2366.0,Collection: Combined Sewers,0.48,,OH,40.1381,-84.4277,Bradford
39001199003,39001199003t0,Butler Co LeSourdsville WWTP (Collection: Separate Sewers),['OH0049417'],65027.0,Collection: Separate Sewers,15.0,,OH,39.4322,-84.4422,Hamilton
39001199003,39001199003t1,Butler Co LeSourdsville WWTP (Treatment Plant),['OH0049417'],65027.0,Treatment Plant,15.0,,OH,39.4322,-84.4422,Hamilton
39001421001,39001421001t1,Catawba WWTP & Sewer System (Treatment Plant),['OH0093165'],245.0,Treatment Plant,0.022,,OH,39.9894,-83.6408,Catawba
39001421001,39001421001t0,Catawba WWTP & Sewer System (Collection: Separate Sewers),['OH0093165'],245.0,Collection: Separate Sewers,0.022,,OH,39.9894,-83.6408,Catawba
39004200001,39004200001t0,LaGrange WWTP & Sewer System (Collection: Separate Sewers),['OH0046221'],2595.0,Collection: Separate Sewers,0.363,Lorain,OH,41.2426,-82.1279,Lagrange
39004200001,39004200001t1,LaGrange WWTP & Sewer System (Treatment Plant),['OH0046221'],2595.0,Treatment Plant,0.363,Lorain,OH,41.2426,-82.1279,Lagrange
39005880001,39005880001t1,New Philadelphia WWTP & Sewers (Treatment Plant),['OH0026727'],17665.0,Treatment Plant,4.5,,OH,40.4763,-81.4252,New Philadelphia
39005880001,39005880001t0,New Philadelphia WWTP & Sewers (Collection: Separate Sewers),['OH0026727'],17665.0,Collection: Separate Sewers,4.5,,OH,40.4763,-81.4252,New Philadelphia
39006776001,39006776001t0,Port Clinton WWTP & Sewer System (Collection: Combined Sewers),['OH0052876'],6816.0,Collection: Combined Sewers,2.0,Ottawa,OH,41.5131,-82.9448,Port Clinton
39006776001,39006776001t2,Port Clinton WWTP & Sewer System (Treatment Plant),['OH0052876'],6816.0,Treatment Plant,2.0,Ottawa,OH,41.5131,-82.9448,Port Clinton
39006776001,39006776001t1,Port Clinton WWTP & Sewer System (Collection: Separate Sewers),['OH0052876'],6816.0,Collection: Separate Sewers,2.0,Ottawa,OH,41.5131,-82.9448,Port Clinton
39008225001,39008225001t1,Tiltonsville WWTP & Sewer System (Treatment Plant),['OH0090891'],1654.0,Treatment Plant,0.4,,OH,40.204,-80.6816,Tiltonsville
39008225001,39008225001t0,Tiltonsville WWTP & Sewer System (Collection: Separate Sewers),['OH0090891'],1654.0,Collection: Separate Sewers,0.4,,OH,40.204,-80.6816,Tiltonsville
39008729001,39008729001,Stark Co Waynesburg Sewers,,923.0,Collection: Separate Sewers,,,OH,40.667778,-81.256944,Waynesburg
39009600001,39009600001t1,Holmesville WWTP & Sewers (Treatment Plant),['OH0125903'],371.0,Treatment Plant,0.095,,OH,40.63501,-81.92466,Holmesville
39009600001,39009600001t0,Holmesville WWTP & Sewers (Collection: Separate Sewers),['OH0125903'],371.0,Collection: Separate Sewers,0.095,,OH,40.63501,-81.92466,Holmesville
26000523001,26000523001,STERLING HEIGHTS CS,,90851.0,Collection: Separate Sewers,,,MI,42.591953,-83.011258,Sterling Heights
26002000001,26002000001t0,ALPENA WWTS (Collection: Combined Sewers),['MI0022195'],10691.0,Collection: Combined Sewers,5.5,,MI,45.0607,-83.4287,Alpena
26002000001,26002000001t1,ALPENA WWTS (Treatment Plant),['MI0022195'],10691.0,Treatment Plant,5.5,,MI,45.0607,-83.4287,Alpena
26003036001,26003036001t1,BELLAIRE STP (Treatment Plant),['MI0044873'],1186.0,Treatment Plant,0.214,,MI,44.9708,-85.2087,Bellaire
26003036001,26003036001t0,BELLAIRE STP (Collection: Separate Sewers),['MI0044873'],1186.0,Collection: Separate Sewers,0.214,,MI,44.9708,-85.2087,Bellaire
26003087001,26003087001t1,MUNISING STP (Treatment Plant),['MI0020044'],3142.0,Treatment Plant,0.933,,MI,46.4082,-86.647,Munising
26003087001,26003087001t0,MUNISING STP (Collection: Separate Sewers),['MI0020044'],3142.0,Collection: Separate Sewers,0.933,,MI,46.4082,-86.647,Munising
54002403001,54002403001t0,COLFAX PSD (Collection: Separate Sewers),['WV0032131'],291.0,Collection: Separate Sewers,0.07,,WV,39.4384,-80.1309,Colfax
54002403001,54002403001t1,COLFAX PSD (Treatment Plant),['WV0032131'],291.0,Treatment Plant,0.07,,WV,39.4384,-80.1309,Colfax
54002620001,54002620001t1,MASON CO PSD - LAKIN WWTP (Treatment Plant),['WV0105619'],276.0,Treatment Plant,0.34,,WV,38.9583,-82.095,Point Pleasant
54002620001,54002620001t0,MASON CO PSD - LAKIN WWTP (Collection: Separate Sewers),['WV0105619'],276.0,Collection: Separate Sewers,0.34,,WV,38.9583,-82.095,Point Pleasant
54002906001,54002906001t1,WILLIAMSON WWTP (Treatment Plant),['WV0026271'],7623.0,Treatment Plant,1.04,Mingo,WV,37.6726,-82.2929,Williamson
54002906001,54002906001t0,WILLIAMSON WWTP (Collection: Separate Sewers),['WV0026271'],7623.0,Collection: Separate Sewers,1.04,Mingo,WV,37.6726,-82.2929,Williamson
54005405001,54005405001t1,PARKERSBURG WWTP (Treatment Plant),['WV0023213'],46509.0,Treatment Plant,9.66,Wood,WV,39.2807,-81.5571,Parkersburg
54005405001,54005405001t0,PARKERSBURG WWTP (Collection: Separate Sewers),['WV0023213'],46509.0,Collection: Separate Sewers,9.66,Wood,WV,39.2807,-81.5571,Parkersburg
54005507001,54005507001t0,OCEANA WWTP (Collection: Separate Sewers),['WV0024431'],3906.0,Collection: Separate Sewers,0.5,Wyoming,WV,37.6812,-81.6631,Lynco
54005507001,54005507001t1,OCEANA WWTP (Collection: Combined Sewers),['WV0024431'],3906.0,Collection: Combined Sewers,0.5,Wyoming,WV,37.6812,-81.6631,Lynco
54005507001,54005507001t2,OCEANA WWTP (Treatment Plant),['WV0024431'],3906.0,Treatment Plant,0.5,Wyoming,WV,37.6812,-81.6631,Lynco
33000098001,33000098001t1,Sunapee WWTF (Treatment Plant),['NH0100544'],4557.0,Treatment Plant,0.64,Sullivan,NH,43.380847,-72.114253,Sunapee
33000098001,33000098001t0,Sunapee WWTF (Collection: Separate Sewers),['NH0100544'],4557.0,Collection: Separate Sewers,0.64,Sullivan,NH,43.380847,-72.114253,Sunapee
1000038001,1000038001t0,South Alabama Utilities-Citronelle WWTP (Collection: Separate Sewers),['AL0060887'],3528.0,Collection: Separate Sewers,0.5,,AL,31.0845,-88.2458,Citronelle
1000038001,1000038001t1,South Alabama Utilities-Citronelle WWTP (Treatment Plant),['AL0060887'],3528.0,Treatment Plant,0.5,,AL,31.0845,-88.2458,Citronelle
55009512001,55009512001,IXONIA SD #2 - CS,['WIG003264'],961.0,Collection: Separate Sewers,,,WI,43.18694999,-88.52844849,Ixonia
24000005007,24000005007t1,Pleasant Valley WWTP (Treatment Plant),['MD0066745'],171.0,Treatment Plant,0.02,Carroll,MD,39.633952,-77.046604,Westminster
24000005007,24000005007t0,Pleasant Valley WWTP (Collection: Separate Sewers),['MD0066745'],171.0,Collection: Separate Sewers,0.02,Carroll,MD,39.633952,-77.046604,Westminster
24000030007,24000030007t0,George's Creek WWTP (Collection: Separate Sewers),['MD0060071'],6035.0,Collection: Separate Sewers,0.6,,MD,39.5097,-79.0332,Westernport
24000030007,24000030007t1,George's Creek WWTP (Treatment Plant),['MD0060071'],6035.0,Treatment Plant,0.6,,MD,39.5097,-79.0332,Westernport
24000057004,24000057004,FAIRLEE COLLECTION SYSTEM,,519.0,Collection: Separate Sewers,,,MD,39.223809,-76.172633,Chestertown
24000300221,24000300221t1,Mill Bottom WWTS (Treatment Plant),['MD0065439'],1012.0,Treatment Plant,0.1,Frederick,MD,39.36307,-77.200649,Mount Airy
24000300221,24000300221t0,Mill Bottom WWTS (Collection: Separate Sewers),['MD0065439'],1012.0,Collection: Separate Sewers,0.1,Frederick,MD,39.36307,-77.200649,Mount Airy
36003095001,36003095001t1,Rockland County (Co) SD#1 & WWTP (Treatment Plant),['NY0031895'],115812.0,Treatment Plant,28.9,Rockland,NY,41.0423,-73.9419,Orangeburg
36003095001,36003095001t0,Rockland County (Co) SD#1 & WWTP (Collection: Interceptor Sewers),['NY0031895'],115812.0,Collection: Interceptor Sewers,28.9,Rockland,NY,41.0423,-73.9419,Orangeburg
36003095001,36003095001,Rockland County (Co) SD#1 & WWTP,['NY0031895'],115812.0,Collection: Pump Stations,28.9,Rockland,NY,41.0423,-73.9419,Orangeburg
36003118001,36003118001t0,Rockland (T)  Livingston Manor STP (Collection: Separate Sewers),['NY0025437'],1506.0,Collection: Separate Sewers,0.8,,NY,41.9085,-74.831222,Livingston Manor
36003118001,36003118001t1,Rockland (T)  Livingston Manor STP (Treatment Plant),['NY0025437'],1506.0,Treatment Plant,0.8,,NY,41.9085,-74.831222,Livingston Manor
36003146002,36003146002t1,Shawangunk (T)Wallkill SD STP& ISDS (Treatment Plant),['NY0021521'],5195.0,Treatment Plant,0.64,,NY,41.632889,-74.189361,Wallkill
36003146002,36003146002t0,Shawangunk (T)Wallkill SD STP& ISDS (Collection: Separate Sewers),['NY0021521'],5195.0,Collection: Separate Sewers,0.64,,NY,41.632889,-74.189361,Wallkill
36003152002,36003152002,"Briarcliff Manor, (V) Sanitary Sewer (to Yonkers WWTP)",,3636.0,Collection: Separate Sewers,,,NY,41.1369327,-73.83692,Briarcliff Manor
36003169002,36003169002,Westchester (Co) Bronx Valley SD,,623.0,Collection: Separate Sewers,,,NY,40.997858,-73.806981,Scarsdale
36004057001,36004057001,Fonda (V) San. Sewers,,842.0,Collection: Separate Sewers,,,NY,42.9522516,-74.371195,Fonda
36004094001,36004094001,Schaghticoke (T) Pleasantdale Sewer,,1091.0,Collection: Separate Sewers,,,NY,42.79647,-73.66678,Troy
36007028001,36007028001,Aurelius (T) San. Sewers,,525.0,Collection: Separate Sewers,,,NY,42.92842906,-76.620856,Auburn
36008064001,36008064001t0,Holley (V) WWTP (Collection: Combined Sewers),['NY0023256'],1743.0,Collection: Combined Sewers,0.45,Orleans,NY,43.225278,-78.018528,Holley
36008064001,36008064001t1,Holley (V) WWTP (Treatment Plant),['NY0023256'],1743.0,Treatment Plant,0.45,Orleans,NY,43.225278,-78.018528,Holley
36008074001,36008074001t0,Waterloo (V) WWTP & Collection System (Collection: Combined Sewers),['NY0022365'],5757.0,Collection: Combined Sewers,1.3,Seneca,NY,42.900556,-76.848056,Waterloo
36008074001,36008074001t1,Waterloo (V) WWTP & Collection System (Treatment Plant),['NY0022365'],5757.0,Treatment Plant,1.3,Seneca,NY,42.900556,-76.848056,Waterloo
36008240001,36008240001,Riverside (V) San.Sewers,,409.0,Collection: Separate Sewers,,,NY,42.155419,-77.0797445,Corning
36009088001,36009088001,Farmham (V) San. Sewers,,326.0,Collection: Separate Sewers,,,NY,42.59598228,-79.0807656,Farnham
42001303001,42001303001t0,ASHLAND BORO (Collection: Combined Sewers),['PA0023558'],2333.0,Collection: Combined Sewers,0.25,,PA,40.7743,-76.2724,Ashland
42001303001,42001303001t2,ASHLAND BORO (Treatment Plant),['PA0023558'],2333.0,Treatment Plant,0.25,,PA,40.7743,-76.2724,Ashland
42001303001,42001303001t1,ASHLAND BORO (Collection: Separate Sewers),['PA0023558'],2333.0,Collection: Separate Sewers,0.25,,PA,40.7743,-76.2724,Ashland
42004277001,42004277001t0,MILTON REGIONAL STP (Collection: Separate Sewers),['PA0020273'],9793.0,Collection: Separate Sewers,2.6,Northumberland,PA,41.0203,-76.8522,Milton
42004277001,42004277001t1,MILTON REGIONAL STP (Treatment Plant),['PA0020273'],9793.0,Treatment Plant,2.6,Northumberland,PA,41.0203,-76.8522,Milton
42004277001,42004277001,MILTON REGIONAL STP,['PA0020273'],9793.0,Collection: Pump Stations,2.6,Northumberland,PA,41.0203,-76.8522,Milton
48000165001,48000165001t1,Silverton WWTP (Treatment Plant),,842.0,Treatment Plant,0.09,,TX,34.475005,-101.301498,Silverton
48000165001,48000165001t0,Silverton WWTP (Collection: Separate Sewers),,842.0,Collection: Separate Sewers,0.09,,TX,34.475005,-101.301498,Silverton
48001170001,48001170001t1,Moore WWTP (Treatment Plant),['TX0123854'],695.0,Treatment Plant,0.065,,TX,29.045,-99.0026,Moore
48001170001,48001170001t0,Moore WWTP (Collection: Separate Sewers),['TX0123854'],695.0,Collection: Separate Sewers,0.065,,TX,29.045,-99.0026,Moore
31002355001,31002355001t1,SUMNER WWTP (Treatment Plant),,236.0,Treatment Plant,0.03,Dawson,NE,40.95,-99.5,Sumner
31002355001,31002355001t0,SUMNER WWTP (Collection: Separate Sewers),,236.0,Collection: Separate Sewers,0.03,Dawson,NE,40.95,-99.5,Sumner
20001614001,20001614001t1,GARDEN CITY WWTP (Treatment Plant),['KS0038962'],27914.0,Treatment Plant,6.0,,KS,37.957093,-100.829065,Garden City
20001614001,20001614001t0,GARDEN CITY WWTP (Collection: Separate Sewers),['KS0038962'],27914.0,Collection: Separate Sewers,6.0,,KS,37.957093,-100.829065,Garden City
27001517001,27001517001t1,HOLLOWAY STP (Treatment Plant),['MN0023728'],160.0,Treatment Plant,0.03,,MN,45.25390126,-95.89732844,Holloway
27001517001,27001517001t0,HOLLOWAY STP (Collection: Separate Sewers),['MN0023728'],160.0,Collection: Separate Sewers,0.03,,MN,45.25390126,-95.89732844,Holloway
36008020001,36008020001t0,Mount Morris (V) WWTP (Collection: Separate Sewers),['NY0030741'],3289.0,Collection: Separate Sewers,0.86,,NY,42.72404,-77.87309,Mount Morris
36008020001,36008020001t1,Mount Morris (V) WWTP (Treatment Plant),['NY0030741'],3289.0,Treatment Plant,0.86,,NY,42.72404,-77.87309,Mount Morris
36008125001,36008125001t0,"Pembroke, (T) WWTP and Sewers (Collection: Separate Sewers)",['NY0272086'],98.0,Collection: Separate Sewers,0.15,,NY,42.95853,-78.41365,Corfu
36008125001,36008125001t1,"Pembroke, (T) WWTP and Sewers (Treatment Plant)",['NY0272086'],98.0,Treatment Plant,0.15,,NY,42.95853,-78.41365,Corfu
19000560001,19000560001t1,MIDDLETOWN WWTP (Treatment Plant),['IA0025381'],559.0,Treatment Plant,0.367,Des Moines,IA,40.8369,-91.2572,Middletown
19000560001,19000560001t0,MIDDLETOWN WWTP (Collection: Separate Sewers),['IA0025381'],559.0,Collection: Separate Sewers,0.367,Des Moines,IA,40.8369,-91.2572,Middletown
47000720001,47000720001t1,JEFFERSON CITY WWTP (Treatment Plant),['TN0021199'],8220.0,Treatment Plant,1.0,,TN,36.1288,-83.5026,Jefferson City
47000720001,47000720001t0,JEFFERSON CITY WWTP (Collection: Separate Sewers),['TN0021199'],8220.0,Collection: Separate Sewers,1.0,,TN,36.1288,-83.5026,Jefferson City
26000228001,26000228001t0,WHITE CLOUD STP (Collection: Separate Sewers),,1889.0,Collection: Separate Sewers,0.41,,MI,43.5506,-85.8033,White Cloud
26000228001,26000228001t1,WHITE CLOUD STP (Treatment Plant),,1889.0,Treatment Plant,0.41,,MI,43.5506,-85.8033,White Cloud
26000411001,26000411001t1,FLINT WPCF (Treatment Plant),['MI0022926'],104401.0,Treatment Plant,50.0,Genesee,MI,43.044,-83.7701,Flint
26000411001,26000411001t0,FLINT WPCF (Collection: Combined Sewers),['MI0022926'],104401.0,Collection: Combined Sewers,50.0,Genesee,MI,43.044,-83.7701,Flint
26000458011,26000458011,SWARTZ CK AREA C.S.,,9312.0,Collection: Separate Sewers,,,MI,42.957216,-83.830726,Swartz Creek
26000575001,26000575001,ROYAL OAK TWP CS,,2714.0,Collection: Combined Sewers,,Oakland,MI,42.450631,-83.164144,Ferndale
26001018007,26001018007,MONITOR TWP CS,,10230.0,Collection: Separate Sewers,,,MI,43.649942,-83.946469,Kawkawlin
26003031001,26003031001t1,VERNON WWTP (Treatment Plant),['MIG580057'],846.0,Treatment Plant,0.09,,MI,42.9364,-84.0246,Vernon
26003031001,26003031001t0,VERNON WWTP (Collection: Separate Sewers),['MIG580057'],846.0,Collection: Separate Sewers,0.09,,MI,42.9364,-84.0246,Vernon
26003137001,26003137001t0,NEWBERRY STP (Collection: Separate Sewers),['MIG570218'],2602.0,Collection: Separate Sewers,0.9,Luce,MI,46.3712,-85.5098,Newberry
26003137001,26003137001t1,NEWBERRY STP (Treatment Plant),['MIG570218'],2602.0,Treatment Plant,0.9,Luce,MI,46.3712,-85.5098,Newberry
26004006002,26004006002,PLYMOUTH TWP CS,,28332.0,Collection: Separate Sewers,,,MI,42.359035,-83.456998,Plymouth
25000179002,25000179002t0,Ashfield Sewerage Collection System and WWTF (Collection: Separate Sewers),['594'],386.0,Collection: Separate Sewers,0.025,Franklin,MA,42.5244,-72.7825,Ashfield
25000179002,25000179002t1,Ashfield Sewerage Collection System and WWTF (Treatment Plant),['594'],386.0,Treatment Plant,0.025,Franklin,MA,42.5244,-72.7825,Ashfield
50000115001,50000115001,Williston FD 1 WWCS,,267.0,Collection: Pump Stations,,,VT,44.45,-73.1333,Williston
50000115001,50000115001,Williston FD 1 WWCS,,267.0,Collection: Separate Sewers,,,VT,44.45,-73.1333,Williston
54002715001,54002715001t0,OAKVALE ROAD PSD (Collection: Separate Sewers),['WV0080489'],6975.0,Collection: Separate Sewers,,Mercer,WV,37.3853,-81.0844,Princeton
54002715001,54002715001t1,OAKVALE ROAD PSD (Collection: Interceptor Sewers),['WV0080489'],6975.0,Collection: Interceptor Sewers,,Mercer,WV,37.3853,-81.0844,Princeton
54005001001,54005001001,CEREDO CS,['WV0021873'],2123.0,Collection: Separate Sewers,,Wayne,WV,38.3982,-82.5563,Ceredo
1000305001,1000305001t1,HANCEVILLE WWTP (Treatment Plant),['AL0057029'],5844.0,Treatment Plant,0.99,Cullman,AL,34.0545,-86.7547,Hanceville
1000305001,1000305001t0,HANCEVILLE WWTP (Collection: Separate Sewers),['AL0057029'],5844.0,Collection: Separate Sewers,0.99,Cullman,AL,34.0545,-86.7547,Hanceville
1000305001,1000305001,HANCEVILLE WWTP,['AL0057029'],5844.0,Collection: Pump Stations,0.99,Cullman,AL,34.0545,-86.7547,Hanceville
2000310001,2000310001t1,Akutan WWTP (Treatment Plant),"['AK0037303', 'AK1279074']",730.0,Treatment Plant,0.071,,AK,54.132189,-165.786894,Akutan
2000310001,2000310001t0,Akutan WWTP (Collection: Separate Sewers),"['AK0037303', 'AK1279074']",730.0,Collection: Separate Sewers,0.071,,AK,54.132189,-165.786894,Akutan
5000361001,5000361001t1,Cove WWTP (Treatment Plant),['AR0049247'],321.0,Treatment Plant,0.075,,AR,34.4228,-94.4051,Cove
5000361001,5000361001t0,Cove WWTP (Collection: Separate Sewers),['AR0049247'],321.0,Collection: Separate Sewers,0.075,,AR,34.4228,-94.4051,Cove
5000585001,5000585001t0,Bearden WWTP (Collection: Separate Sewers),['AR0021474'],779.0,Collection: Separate Sewers,0.17,Ouachita,AR,33.6912,-92.6352,Bearden
5000585001,5000585001t1,Bearden WWTP (Treatment Plant),['AR0021474'],779.0,Treatment Plant,0.17,Ouachita,AR,33.6912,-92.6352,Bearden
13000842001,13000842001,Wadley WPCP,['GA0021024'],1858.0,Treatment Plant,0.215,,GA,32.851139,-82.398361,Wadley
17000006001,17000006001t0,ADDIEVILLE STP (Collection: Separate Sewers),['IL0049140'],277.0,Collection: Separate Sewers,0.03,,IL,38.3983,-89.495,Addieville
17000006001,17000006001t1,ADDIEVILLE STP (Treatment Plant),['IL0049140'],277.0,Treatment Plant,0.03,,IL,38.3983,-89.495,Addieville
